# This is Supplementary Table 2 with some extra information from https://cgl.gi.ucsc.edu/data/cactus/Zoonomia-Supplemental-tables.xlsx,,,,,,,,
Order,Family,Species,Common Name,label,Source,Accession,IUCN,Echolocating
AFROSORICIDA,Chrysochloridae,Chrysochloris asiatica,Cape golden mole,Chrysochloris_asiatica,1. Zoonomia,GCA_004027935.1,LC,N
AFROSORICIDA,Tenrecidae,Echinops telfairi,Small madagascar hedgehog,Echinops_telfairi,2. Existing assembly,GCF_000313985.1,LC,N
AFROSORICIDA,Tenrecidae,Microgale talazaci,Talazac's shrew tenrec,Microgale_talazaci,1. Zoonomia,GCA_004026705.1,LC,N
CARNIVORA,Ailuridae,Ailurus fulgens,Lesser panda,Ailurus_fulgens,2. Existing assembly,GCA_002007465.1,EN,N
CARNIVORA,Canidae,Canis lupus familiaris,Domestic dog (village dog),Canis_lupus,1. Zoonomia,GCA_004027395.1,LC,N
CARNIVORA,Canidae,Canis lupus familiaris,Domestic dog,Canis_lupus_familiaris,2. Existing assembly,GCF_000002285.3,LC,N
CARNIVORA,Canidae,Lycaon pictus,African hunting dog,Lycaon_pictus,2. Existing assembly,GCA_001887905.1,EN,N
CARNIVORA,Canidae,Vulpes lagopus,Arctic fox,Vulpes_lagopus,1. Zoonomia,GCA_004023825.1,LC,N
CARNIVORA,Eupleridae,Cryptoprocta ferox,Fossa,Cryptoprocta_ferox,1. Zoonomia,GCA_004023885.1,VU,N
CARNIVORA,Felidae,Acinonyx jubatus,Cheetah,Acinonyx_jubatus,2. Existing assembly,GCF_001443585.1,CR,N
CARNIVORA,Felidae,Felis catus,Domestic cat,Felis_catus,2. Existing assembly,GCF_000181335.2,LC,N
CARNIVORA,Felidae,Felis nigripes,Black-footed cat,Felis_nigripes,1. Zoonomia,GCA_004023925.1,VU,N
CARNIVORA,Felidae,Panthera onca,Jaguar,Panthera_onca,1. Zoonomia,GCA_004023805.1,NT,N
CARNIVORA,Felidae,Panthera pardus,Leopard,Panthera_pardus,2. Existing assembly,GCA_001857705.1,VU,N
CARNIVORA,Felidae,Panthera tigris,Amur tiger,Panthera_tigris,2. Existing assembly,GCF_000464555.1,EN,N
CARNIVORA,Felidae,Puma concolor,Puma,Puma_concolor,2. Existing assembly,GCF_003327715.1,LC,N
CARNIVORA,Herpestidae,Helogale parvula,Dwarf mongoose,Helogale_parvula,1. Zoonomia,GCA_004023845.1,LC,N
CARNIVORA,Herpestidae,Mungos mungo,South African banded mongoose,Mungos_mungo,1. Zoonomia,GCA_004023785.1,LC,N
CARNIVORA,Herpestidae,Suricata suricatta,Meerkat,Suricata_suricatta,1. Zoonomia,GCA_004023905.1,LC,N
CARNIVORA,Hyaenidae,Hyaena hyaena,Striped hyena,Hyaena_hyaena,1. Zoonomia,GCA_004023945.1,NT,N
CARNIVORA,Mephitidae,Spilogale gracilis,Western spotted skunk,Spilogale_gracilis,1. Zoonomia,GCA_004023965.1,LC,N
CARNIVORA,Mustelidae,Enhydra lutris,Sea otter,Enhydra_lutris,2. Existing assembly,GCF_002288905.1,EN,N
CARNIVORA,Mustelidae,Mellivora capensis,Honey badger,Mellivora_capensis,1. Zoonomia,GCA_004024625.1,LC,N
CARNIVORA,Mustelidae,Mustela putorius,Domestic ferret,Mustela_putorius,2. Existing assembly,GCF_000239315.1,LC,N
