name,label,accession
Chelonoidis_abingdonii,Cabingdonii,GCA_003597395.1
Carettochelys_insculpta,Cinsculpta,GCA_007922185.1
Cuora_mccordi,Cmccordi,GCA_003846335.1
Chelonia_mydas,Cmydas,GCF_015237465.2
Chrysemys_picta,Cpicta,GCA_000241765.3
Chelydra_serpentina,Cserpentina,GCA_007922165.1
Dermochelys_coriacea,Dcoriacea,GCF_009764565.3
Dermatemys_mawii,Dmawii,GCA_007922305.1
Actinemys_marmorata,Amarmorata,GCA_022086475.1
Emydura_subglobosa,Esubglobosa,GCA_007922225.1
Gopherus_evgoodei,Gevgoodei,GCF_007399415.2
Lepidochelys_kempii,Lkempii,NA
Mesoclemmys_tuberculata,Mtuberculata,GCA_007922155.1
Mauremys_mutica,Mmutica,GCA_020497125.1
Mauremys_reevesii,Mreevesii,GCF_016161935.1
Malaclemys_terrapin,Mterrapin,GCA_001728815.2
Pelusios_castaneus,Pcastaneus,GCA_007922175.1
Podocnemis_expansa,Pexpansa,GCA_007922195.1
Platysternon_megacephalum,Pmegacephalum,GCA_003942145.1
Pelodiscus_sinensis,Psinensis,GCA_000230535.1
Rafetus_swinhoei,Rswinhoei,GCA_019425775.1
Trachemys_scripta,Tscripta,GCF_013100865.1
