source	group	chrom	n_elements	bp_elements	n_atac_peaks	bp_atac_peaks	n_elements_overlapping	pct_elements_overlapping	bp_intersect	jaccard	pct_elements_bp_in_atac	pct_atac_bp_in_elements
num_seqs_ce	autosomes	CM000994.3	112455	9580540	23889	7166682	17772	15.8	1292258	0.0836144	13.49	18.03
num_seqs_ce	autosomes	CM000995.3	112999	11589271	26635	7990502	19376	17.15	1696774	0.094882	14.64	21.23
num_seqs_ce	autosomes	CM000996.3	67086	7238790	18402	5520602	10782	16.07	943805	0.079878	13.04	17.1
num_seqs_ce	autosomes	CM000997.3	69995	8234285	22226	6667801	13800	19.72	1316714	0.0969215	15.99	19.75
num_seqs_ce	autosomes	CM000998.3	113290	8604324	20489	6154480	16959	14.97	1148627	0.0843947	13.35	18.66
num_seqs_ce	autosomes	CM000999.3	69941	7122800	18856	5656802	11595	16.58	999556	0.0848516	14.03	17.67
num_seqs_ce	autosomes	CM001000.3	94514	8378269	19908	5972399	15878	16.8	1216060	0.0925844	14.51	20.36
num_seqs_ce	autosomes	CM001001.3	84370	7578947	17395	5218496	13629	16.15	1048327	0.089226	13.83	20.09
num_seqs_ce	autosomes	CM001002.3	73609	7356987	19025	5707500	12433	16.89	1053699	0.0877294	14.32	18.46
num_seqs_ce	autosomes	CM001003.3	196815	8574792	18716	5614802	25507	12.96	1124626	0.0860795	13.12	20.03
num_seqs_ce	autosomes	CM001004.3	72200	8503823	23570	7071000	15488	21.45	1525131	0.108553	17.93	21.57
num_seqs_ce	autosomes	CM001005.3	58431	6033617	14801	4440297	9663	16.54	790586	0.081644	13.1	17.8
num_seqs_ce	autosomes	CM001006.3	67387	5932008	16622	4986606	11625	17.25	919342	0.0919409	15.5	18.44
num_seqs_ce	autosomes	CM001007.3	50399	5626954	13525	4057493	8093	16.06	711845	0.0793354	12.65	17.54
num_seqs_ce	autosomes	CM001008.3	64428	5390606	15166	4549795	11803	18.32	873382	0.0963252	16.2	19.2
num_seqs_ce	autosomes	CM001009.3	45496	4602725	12972	3891600	7571	16.64	620950	0.0788671	13.49	15.96
num_seqs_ce	autosomes	CM001010.3	71225	5225911	14076	4222800	12017	16.87	782854	0.0903377	14.98	18.54
num_seqs_ce	autosomes	CM001011.3	60259	5195144	11862	3558599	9377	15.56	704603	0.0875377	13.56	19.8
num_seqs_ce	autosomes	CM001012.3	29700	3407187	10164	3049199	5733	19.3	548990	0.0929327	16.11	18.0
num_seqs_ce	xy	CM001013.3	27191	4481670	6288	1897958	3001	11.04	386229	0.0644424	8.62	20.35
num_seqs_ce	xy	CM001014.3	13072	534657	0	0	0	0.0	0	0.0	0.0	
num_seqs_cnee	autosomes	CM000994.3	43475	6293175	23889	7166682	8323	19.14	924844	0.0737809	14.7	12.9
num_seqs_cnee	autosomes	CM000995.3	48954	7770891	26635	7990502	10461	21.37	1279650	0.088363	16.47	16.01
num_seqs_cnee	autosomes	CM000996.3	31728	5171341	18402	5520602	5866	18.49	705365	0.0706313	13.64	12.78
num_seqs_cnee	autosomes	CM000997.3	34566	5785785	22226	6667801	7980	23.09	1010925	0.088347	17.47	15.16
num_seqs_cnee	autosomes	CM000998.3	36402	5177578	20489	6154480	7142	19.62	787123	0.0746447	15.2	12.79
num_seqs_cnee	autosomes	CM000999.3	32017	4991021	18856	5656802	6345	19.82	761379	0.0770124	15.25	13.46
num_seqs_cnee	autosomes	CM001000.3	32506	5001600	19908	5972399	7088	21.81	817145	0.0804526	16.34	13.68
num_seqs_cnee	autosomes	CM001001.3	33235	5065163	17395	5218496	6387	19.22	745559	0.0781664	14.72	14.29
num_seqs_cnee	autosomes	CM001002.3	31863	4790455	19025	5707500	6606	20.73	772901	0.0794752	16.13	13.54
num_seqs_cnee	autosomes	CM001003.3	33739	4076799	18716	5614802	6439	19.08	633086	0.0698885	15.53	11.28
num_seqs_cnee	autosomes	CM001004.3	34506	5532038	23570	7071000	9104	26.38	1125127	0.0980254	20.34	15.91
num_seqs_cnee	autosomes	CM001005.3	26844	4346224	14801	4440297	4994	18.6	586691	0.0715492	13.5	13.21
num_seqs_cnee	autosomes	CM001006.3	26481	4105312	16622	4986606	5876	22.19	692122	0.0823975	16.86	13.88
num_seqs_cnee	autosomes	CM001007.3	24564	4047783	13525	4057493	4465	18.18	539589	0.0713206	13.33	13.3
num_seqs_cnee	autosomes	CM001008.3	23501	3325913	15166	4549795	5318	22.63	600530	0.0825451	18.06	13.2
num_seqs_cnee	autosomes	CM001009.3	20646	3214644	12972	3891600	3923	19.0	464799	0.0699846	14.46	11.94
num_seqs_cnee	autosomes	CM001010.3	21245	2925635	14076	4222800	4666	21.96	500439	0.0752767	17.11	11.85
num_seqs_cnee	autosomes	CM001011.3	23171	3563046	11862	3558599	4441	19.17	527360	0.0799723	14.8	14.82
