# Updated with get_gc_content.py, 2025-04-20 16:32:24
name,label,accession,gc
Chelonoidis_abingdonii,Cabingdonii,GCA_003597395.1,43.5
Carettochelys_insculpta,Cinsculpta,GCA_007922185.1,45.5
Cuora_mccordi,Cmccordi,GCA_003846335.1,44.5
Chelonia_mydas,Cmydas,GCF_015237465.2,44.0
Chrysemys_picta,Cpicta,GCA_000241765.3,44.0
Chelydra_serpentina,Cserpentina,GCA_007922165.1,44.5
Dermochelys_coriacea,Dcoriacea,GCF_009764565.3,43.5
Dermatemys_mawii,Dmawii,GCA_007922305.1,43.0
Actinemys_marmorata,Amarmorata,GCA_022086475.1,45.0
Emydura_subglobosa,Esubglobosa,GCA_007922225.1,43.0
Gopherus_evgoodei,Gevgoodei,GCF_007399415.2,44.0
Lepidochelys_kempii,Lkempii,NA,NA
Mesoclemmys_tuberculata,Mtuberculata,GCA_007922155.1,43.0
Mauremys_mutica,Mmutica,GCA_020497125.1,45.0
Mauremys_reevesii,Mreevesii,GCF_016161935.1,45.0
Malaclemys_terrapin,Mterrapin,GCA_001728815.2,44.5
Pelusios_castaneus,Pcastaneus,GCA_007922175.1,43.0
Podocnemis_expansa,Pexpansa,GCA_007922195.1,43.5
Platysternon_megacephalum,Pmegacephalum,GCA_003942145.1,44.5
Pelodiscus_sinensis,Psinensis,GCA_000230535.1,44.5
Rafetus_swinhoei,Rswinhoei,GCA_019425775.1,45.5
Trachemys_scripta,Tscripta,GCF_013100865.1,44.0
