# This is Supplementary Table 2 with some extra information from https://cgl.gi.ucsc.edu/data/cactus/Zoonomia-Supplemental-tables.xlsx,,,,,,,,
# Updated with get_gc_content.py, 2023-10-11 12:06:09
Order,Family,Species,Common Name,label,Source,Accession,IUCN,Echolocating,gc
AFROSORICIDA,Chrysochloridae,Chrysochloris asiatica,Cape golden mole,Chrysochloris_asiatica,1. Zoonomia,GCA_004027935.1,LC,N,40.0
AFROSORICIDA,Tenrecidae,Echinops telfairi,Small madagascar hedgehog,Echinops_telfairi,2. Existing assembly,GCF_000313985.1,LC,N,43.0
AFROSORICIDA,Tenrecidae,Microgale talazaci,Talazac's shrew tenrec,Microgale_talazaci,1. Zoonomia,GCA_004026705.1,LC,N,43.0
CARNIVORA,Ailuridae,Ailurus fulgens,Lesser panda,Ailurus_fulgens,2. Existing assembly,GCA_002007465.1,EN,N,41.5
CARNIVORA,Canidae,Canis lupus familiaris,Domestic dog (village dog),Canis_lupus,1. Zoonomia,GCA_004027395.1,LC,N,41.5
CARNIVORA,Canidae,Canis lupus familiaris,Domestic dog,Canis_lupus_familiaris,2. Existing assembly,GCF_000002285.3,LC,N,41.0
CARNIVORA,Canidae,Lycaon pictus,African hunting dog,Lycaon_pictus,2. Existing assembly,GCA_001887905.1,EN,N,40.5
CARNIVORA,Canidae,Vulpes lagopus,Arctic fox,Vulpes_lagopus,1. Zoonomia,GCA_004023825.1,LC,N,41.5
CARNIVORA,Eupleridae,Cryptoprocta ferox,Fossa,Cryptoprocta_ferox,1. Zoonomia,GCA_004023885.1,VU,N,41.5
CARNIVORA,Felidae,Acinonyx jubatus,Cheetah,Acinonyx_jubatus,2. Existing assembly,GCF_001443585.1,CR,N,NA
CARNIVORA,Felidae,Felis catus,Domestic cat,Felis_catus,2. Existing assembly,GCF_000181335.2,LC,N,41.5
CARNIVORA,Felidae,Felis nigripes,Black-footed cat,Felis_nigripes,1. Zoonomia,GCA_004023925.1,VU,N,41.5
CARNIVORA,Felidae,Panthera onca,Jaguar,Panthera_onca,1. Zoonomia,GCA_004023805.1,NT,N,41.5
CARNIVORA,Felidae,Panthera pardus,Leopard,Panthera_pardus,2. Existing assembly,GCA_001857705.1,VU,N,41.5
CARNIVORA,Felidae,Panthera tigris,Amur tiger,Panthera_tigris,2. Existing assembly,GCF_000464555.1,EN,N,41.0
CARNIVORA,Felidae,Puma concolor,Puma,Puma_concolor,2. Existing assembly,GCF_003327715.1,LC,N,41.0
CARNIVORA,Herpestidae,Helogale parvula,Dwarf mongoose,Helogale_parvula,1. Zoonomia,GCA_004023845.1,LC,N,41.5
CARNIVORA,Herpestidae,Mungos mungo,South African banded mongoose,Mungos_mungo,1. Zoonomia,GCA_004023785.1,LC,N,41.5
CARNIVORA,Herpestidae,Suricata suricatta,Meerkat,Suricata_suricatta,1. Zoonomia,GCA_004023905.1,LC,N,41.5
CARNIVORA,Hyaenidae,Hyaena hyaena,Striped hyena,Hyaena_hyaena,1. Zoonomia,GCA_004023945.1,NT,N,41.5
CARNIVORA,Mephitidae,Spilogale gracilis,Western spotted skunk,Spilogale_gracilis,1. Zoonomia,GCA_004023965.1,LC,N,41.5
CARNIVORA,Mustelidae,Enhydra lutris,Sea otter,Enhydra_lutris,2. Existing assembly,GCF_002288905.1,EN,N,41.5
CARNIVORA,Mustelidae,Mellivora capensis,Honey badger,Mellivora_capensis,1. Zoonomia,GCA_004024625.1,LC,N,41.5
CARNIVORA,Mustelidae,Mustela putorius,Domestic ferret,Mustela_putorius,2. Existing assembly,GCF_000239315.1,LC,N,NA
CARNIVORA,Mustelidae,Pteronura brasiliensis,Giant otter,Pteronura_brasiliensis,1. Zoonomia,GCA_004024605.1,EN,N,41.5
CARNIVORA,Odobenidae,Odobenus rosmarus,Pacific walrus,Odobenus_rosmarus,2. Existing assembly,GCF_000321225.1,DD,N,41.0
CARNIVORA,Otariidae,Zalophus californianus,California sea lion,Zalophus_californianus,1. Zoonomia,GCA_004024565.1,LC,N,41.5
CARNIVORA,Phocidae,Leptonychotes weddellii,Weddell seal,Leptonychotes_weddellii,2. Existing assembly,GCF_000349705.1,LC,N,41.0
CARNIVORA,Phocidae,Mirounga angustirostris,Northern elephant seal,Mirounga_angustirostris,1. Zoonomia,GCA_004023865.1,LC,N,41.5
CARNIVORA,Phocidae,Neomonachus schauinslandi,Hawaiian monk seal,Neomonachus_schauinslandi,2. Existing assembly,GCA_002201575.1,EN,N,41.0
CARNIVORA,Ursidae,Ailuropoda melanoleuca,Giant panda,Ailuropoda_melanoleuca,2. Existing assembly,GCA_002007445.1,VU,N,41.5
CARNIVORA,Ursidae,Ursus maritimus,Polar bear,Ursus_maritimus,2. Existing assembly,GCF_000687225.1,VU,N,NA
CARNIVORA,Viverridae,Paradoxurus hermaphroditus,Asian palm civet,Paradoxurus_hermaphroditus,1. Zoonomia,GCA_004024585.1,LC,N,42.5
CETARTIODACTYLA,Antilocapridae,Antilocapra americana,Pronghorn,Antilocapra_americana,1. Zoonomia,GCA_004027515.1,LC,N,41.5
CETARTIODACTYLA,Balaenidae,Eubalaena japonica,North Pacific right whale,Eubalaena_japonica,1. Zoonomia,GCA_004363455.1,EN,N,41.0
CETARTIODACTYLA,Balaenopteridae,Balaenoptera acutorostrata,Minke whale,Balaenoptera_acutorostrata,2. Existing assembly,GCF_000493695.1,LC,N,40.5
