Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_009764565.2	Primary Assembly	1	149871085	42.5	CM019935.2	Chromosome		NC_050068.1	assembled-molecule	354478938			SUPER_1
GCF_009764565.2	Primary Assembly	2	114419098	42	CM019936.3	Chromosome		NC_050069.1	assembled-molecule	272704568			SUPER_2
GCF_009764565.2	Primary Assembly	3	89602779	42.5	CM019937.2	Chromosome		NC_050070.1	assembled-molecule	212168110			SUPER_3
GCF_009764565.2	Primary Assembly	4	61154582	42	CM019938.2	Chromosome		NC_050071.1	assembled-molecule	146520673			SUPER_4
GCF_009764565.2	Primary Assembly	5	57841645	42	CM019939.2	Chromosome		NC_050072.1	assembled-molecule	137568771			SUPER_5
GCF_009764565.2	Primary Assembly	6	56523333	43	CM019940.2	Chromosome		NC_050073.1	assembled-molecule	131128815			SUPER_6
GCF_009764565.2	Primary Assembly	7	54993883	43	CM019941.2	Chromosome		NC_050074.1	assembled-molecule	127644590			SUPER_7
GCF_009764565.2	Primary Assembly	8	47118302	43	CM019942.2	Chromosome		NC_050075.1	assembled-molecule	109294577			SUPER_8
GCF_009764565.2	Primary Assembly	9	45211535	43	CM019943.2	Chromosome		NC_050076.1	assembled-molecule	105213316			SUPER_9
GCF_009764565.2	Primary Assembly	10	37847903	44	CM019944.2	Chromosome		NC_050077.1	assembled-molecule	86472384			SUPER_10
GCF_009764565.2	Primary Assembly	11	33768822	42.5	CM019945.2	Chromosome		NC_050078.1	assembled-molecule	79995514		12	SUPER_11
GCF_009764565.2	Primary Assembly	12	19152568	43.5	CM019946.2	Chromosome		NC_050079.1	assembled-molecule	44241090			SUPER_12
GCF_009764565.2	Primary Assembly	13	18617921	45.5	CM019947.2	Chromosome		NC_050080.1	assembled-molecule	41159716			SUPER_13
GCF_009764565.2	Primary Assembly	14	18573769	46.5	CM019948.2	Chromosome		NC_050081.1	assembled-molecule	40021378			SUPER_14
GCF_009764565.2	Primary Assembly	15	14842215	44.5	CM019949.2	Chromosome		NC_050082.1	assembled-molecule	33199653			SUPER_15
GCF_009764565.2	Primary Assembly	16	11996946	45.5	CM019950.2	Chromosome		NC_050083.1	assembled-molecule	26401370			SUPER_16
GCF_009764565.2	Primary Assembly	17	11401879	45	CM019951.2	Chromosome		NC_050084.1	assembled-molecule	25428285			SUPER_17
GCF_009764565.2	Primary Assembly	18	10920123	46	CM019952.2	Chromosome		NC_050085.1	assembled-molecule	23665181			SUPER_18
GCF_009764565.2	Primary Assembly	19	9450267	47.5	CM019953.3	Chromosome		NC_050086.1	assembled-molecule	20023515			SUPER_19
GCF_009764565.2	Primary Assembly	20	9997891	52	CM019954.3	Chromosome		NC_050087.1	assembled-molecule	19206509			SUPER_20
GCF_009764565.2	Primary Assembly	21	8854884	47	CM019955.3	Chromosome		NC_050088.1	assembled-molecule	18859425			SUPER_21
GCF_009764565.2	Primary Assembly	22	8630845	46	CM019956.3	Chromosome		NC_050089.1	assembled-molecule	18746278			SUPER_22
GCF_009764565.2	Primary Assembly	23	9202462	53.5	CM019957.2	Chromosome		NC_050090.1	assembled-molecule	17228317			SUPER_23
GCF_009764565.2	Primary Assembly	24	8669044	51.5	CM019958.2	Chromosome		NC_050091.1	assembled-molecule	16950461			SUPER_24
GCF_009764565.2	Primary Assembly	25	8097521	49	CM019959.2	Chromosome		NC_050092.1	assembled-molecule	16479532			SUPER_25
GCF_009764565.2	Primary Assembly	26	7618792	46.5	CM019960.2	Chromosome		NC_050093.1	assembled-molecule	16472168			SUPER_26
GCF_009764565.2	Primary Assembly	27	7977300	49	CM019961.3	Chromosome		NC_050094.1	assembled-molecule	16294212			SUPER_27
GCF_009764565.2	Primary Assembly	28	3447036	53	CM019962.2	Chromosome		NC_050095.1	assembled-molecule	6736449			SUPER_28
GCF_009764565.2	Primary Assembly	11			WSPL03000011.1	Chromosome		NW_024039815.1	unlocalized-scaffold	4772		12	SUPER_11_unloc_12
GCF_009764565.2	Primary Assembly	11			WSPL03000012.1	Chromosome		NW_024039814.1	unlocalized-scaffold	6026		12	SUPER_11_unloc_11
GCF_009764565.2	Primary Assembly	11			WSPL03000013.1	Chromosome		NW_024039817.1	unlocalized-scaffold	62672		12	SUPER_11_unloc_3
GCF_009764565.2	Primary Assembly	11			WSPL03000014.1	Chromosome		NW_024039816.1	unlocalized-scaffold	88916		12	SUPER_11_unloc_2
GCF_009764565.2	Primary Assembly	11			WSPL03000015.1	Chromosome		NW_024039822.1	unlocalized-scaffold	12220		12	SUPER_11_unloc_8
GCF_009764565.2	Primary Assembly	11			WSPL03000016.1	Chromosome		NW_024039823.1	unlocalized-scaffold	9024		12	SUPER_11_unloc_9
GCF_009764565.2	Primary Assembly	11			WSPL03000017.1	Chromosome		NW_024039813.1	unlocalized-scaffold	8721		12	SUPER_11_unloc_10
GCF_009764565.2	Primary Assembly	11			WSPL03000018.1	Chromosome		NW_024039812.1	unlocalized-scaffold	161456		12	SUPER_11_unloc_1
GCF_009764565.2	Primary Assembly	11			WSPL03000019.1	Chromosome		NW_024039818.1	unlocalized-scaffold	30635		12	SUPER_11_unloc_4
GCF_009764565.2	Primary Assembly	11			WSPL03000020.1	Chromosome		NW_024039819.1	unlocalized-scaffold	27714		12	SUPER_11_unloc_5
GCF_009764565.2	Primary Assembly	11			WSPL03000021.1	Chromosome		NW_024039820.1	unlocalized-scaffold	24225		12	SUPER_11_unloc_6
GCF_009764565.2	Primary Assembly	11			WSPL03000022.1	Chromosome		NW_024039821.1	unlocalized-scaffold	21914		12	SUPER_11_unloc_7
