our_run	our_track	group	chrom	n_ours	bp_ours	n_ucsc	bp_ucsc	bp_intersect	jaccard	pct_ours_in_ucsc	pct_ucsc_in_ours
num_seqs	ce	autosomes	CM000994.3	112455	9580540	341948	10392881	5427870	0.373164	56.66	52.23
num_seqs	ce	autosomes	CM000995.3	112999	11589271	393489	12137389	6867731	0.407365	59.26	56.58
num_seqs	ce	autosomes	CM000996.3	67086	7238790	286245	9132536	4512478	0.380516	62.34	49.41
num_seqs	ce	autosomes	CM000997.3	69995	8234285	303274	9777514	5235692	0.409803	63.58	53.55
num_seqs	ce	autosomes	CM000998.3	113290	8604324	266895	7900209	4400137	0.363516	51.14	55.7
num_seqs	ce	autosomes	CM000999.3	69941	7122800	262792	8051020	4138522	0.375026	58.1	51.4
num_seqs	ce	autosomes	CM001000.3	94514	8378269	241074	7528715	4467060	0.39048	53.32	59.33
num_seqs	ce	autosomes	CM001001.3	84370	7578947	235555	7086629	4041352	0.38039	53.32	57.03
num_seqs	ce	autosomes	CM001002.3	73609	7356987	247607	7474205	4217767	0.397399	57.33	56.43
num_seqs	ce	autosomes	CM001003.3	196815	8574792	246608	7223326	3927334	0.33084	45.8	54.37
num_seqs	ce	autosomes	CM001004.3	72200	8503823	280846	8760087	5280000	0.440591	62.09	60.27
num_seqs	ce	autosomes	CM001005.3	58431	6033617	215682	6934405	3571423	0.380076	59.19	51.5
num_seqs	ce	autosomes	CM001006.3	67387	5932008	197306	6247246	3246675	0.363464	54.73	51.97
num_seqs	ce	autosomes	CM001007.3	50399	5626954	215973	7036930	3550181	0.389543	63.09	50.45
num_seqs	ce	autosomes	CM001008.3	64428	5390606	177678	5206607	2868288	0.371111	53.21	55.09
num_seqs	ce	autosomes	CM001009.3	45496	4602725	176410	5238599	2689737	0.376104	58.44	51.34
num_seqs	ce	autosomes	CM001010.3	71225	5225911	166559	5075883	2796959	0.372688	53.52	55.1
num_seqs	ce	autosomes	CM001011.3	60259	5195144	166884	5367136	2917718	0.381672	56.16	54.36
num_seqs	ce	autosomes	CM001012.3	29700	3407187	133689	4001311	2160484	0.411676	63.41	53.99
num_seqs	ce	xy	CM001013.3	27191	4481670	262871	8965894	3075508	0.296519	68.62	34.3
num_seqs	ce	xy	CM001014.3	13072	534657	7422	1134792	80396	0.0505937	15.04	7.08
num_seqs	cnee	autosomes	CM000994.3	43475	6293175	341948	10392881	3544949	0.26976	56.33	34.11
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM000994.3	43475	6293175	307077	8698587	3544949	0.309689	56.33	40.75
num_seqs	cnee	autosomes	CM000995.3	48954	7770891	393489	12137389	4487361	0.290992	57.75	36.97
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM000995.3	48954	7770891	345582	9884856	4487361	0.340768	57.75	45.4
num_seqs	cnee	autosomes	CM000996.3	31728	5171341	286245	9132536	3158183	0.283355	61.07	34.58
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM000996.3	31728	5171341	264743	7869554	3158183	0.319566	61.07	40.13
num_seqs	cnee	autosomes	CM000997.3	34566	5785785	303274	9777514	3541419	0.294581	61.21	36.22
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM000997.3	34566	5785785	272452	8156872	3541419	0.340481	61.21	43.42
num_seqs	cnee	autosomes	CM000998.3	36402	5177578	266895	7900209	2610447	0.24939	50.42	33.04
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM000998.3	36402	5177578	228186	6270070	2610447	0.295393	50.42	41.63
num_seqs	cnee	autosomes	CM000999.3	32017	4991021	262792	8051020	2826184	0.276647	56.63	35.1
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM000999.3	32017	4991021	236265	6775886	2826184	0.316102	56.63	41.71
num_seqs	cnee	autosomes	CM001000.3	32506	5001600	241074	7528715	2550018	0.255505	50.98	33.87
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM001000.3	32506	5001600	187660	5571952	2550018	0.317817	50.98	45.77
num_seqs	cnee	autosomes	CM001001.3	33235	5065163	235555	7086629	2680159	0.282967	52.91	37.82
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM001001.3	33235	5065163	202549	5859456	2680159	0.325086	52.91	45.74
num_seqs	cnee	autosomes	CM001002.3	31863	4790455	247607	7474205	2583804	0.266898	53.94	34.57
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM001002.3	31863	4790455	213823	5915683	2583804	0.318111	53.94	43.68
num_seqs	cnee	autosomes	CM001003.3	33739	4076799	246608	7223326	2179577	0.238974	53.46	30.17
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM001003.3	33739	4076799	219916	5903200	2179577	0.279418	53.46	36.92
num_seqs	cnee	autosomes	CM001004.3	34506	5532038	280846	8760087	3185096	0.286764	57.58	36.36
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM001004.3	34506	5532038	236015	6707429	3185096	0.351774	57.58	47.49
num_seqs	cnee	autosomes	CM001005.3	26844	4346224	215682	6934405	2543431	0.291104	58.52	36.68
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM001005.3	26844	4346224	197834	5985096	2543431	0.326588	58.52	42.5
num_seqs	cnee	autosomes	CM001006.3	26481	4105312	197306	6247246	2296421	0.285052	55.94	36.76
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM001006.3	26481	4105312	179106	5382529	2296421	0.319328	55.94	42.66
num_seqs	cnee	autosomes	CM001007.3	24564	4047783	215973	7036930	2509254	0.292609	61.99	35.66
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM001007.3	24564	4047783	198414	6057607	2509254	0.330333	61.99	41.42
num_seqs	cnee	autosomes	CM001008.3	23501	3325913	177678	5206607	1694172	0.247746	50.94	32.54
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM001008.3	23501	3325913	153873	4137441	1694172	0.293659	50.94	40.95
num_seqs	cnee	autosomes	CM001009.3	20646	3214644	176410	5238599	1831850	0.276656	56.98	34.97
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM001009.3	20646	3214644	159788	4440770	1831850	0.314558	56.98	41.25
num_seqs	cnee	autosomes	CM001010.3	21245	2925635	166559	5075883	1562080	0.24258	53.39	30.77
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM001010.3	21245	2925635	136978	3918777	1562080	0.295718	53.39	39.86
num_seqs	cnee	autosomes	CM001011.3	23171	3563046	166884	5367136	2044721	0.296962	57.39	38.1
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM001011.3	23171	3563046	150601	4610564	2044721	0.33362	57.39	44.35
num_seqs	cnee	autosomes	CM001012.3	13822	2185049	133689	4001311	1287801	0.262894	58.94	32.18
num_seqs	cnee_vs_nocds_ucsc	autosomes	CM001012.3	13822	2185049	115504	3115511	1287801	0.320927	58.94	41.34
num_seqs	cnee	xy	CM001013.3	18006	3478137	262871	8965894	2247557	0.220425	64.62	25.07
num_seqs	cnee_vs_nocds_ucsc	xy	CM001013.3	18006	3478137	251460	8002264	2247557	0.243431	64.62	28.09
num_seqs	cnee	xy	CM001014.3	1538	398317	7422	1134792	53824	0.0363851	13.51	4.74
num_seqs	cnee_vs_nocds_ucsc	xy	CM001014.3	1538	398317	7324	969819	53824	0.0409522	13.51	5.55
ns	ce	autosomes	CM000994.3	154725	9813491	341948	10392881	5388409	0.36364	54.91	51.85
ns	ce	autosomes	CM000995.3	163370	11739044	393489	12137389	6792325	0.397581	57.86	55.96
ns	ce	autosomes	CM000996.3	97868	7328137	286245	9132536	4471517	0.372963	61.02	48.96
ns	ce	autosomes	CM000997.3	102715	8229441	303274	9777514	5130388	0.398428	62.34	52.47
ns	ce	autosomes	CM000998.3	149484	8743828	266895	7900209	4355374	0.354422	49.81	55.13
ns	ce	autosomes	CM000999.3	99591	7216727	262792	8051020	4078099	0.364453	56.51	50.65
ns	ce	autosomes	CM001000.3	127692	8396517	241074	7528715	4383753	0.379826	52.21	58.23
ns	ce	autosomes	CM001001.3	116392	7714117	235555	7086629	4012226	0.371898	52.01	56.62
ns	ce	autosomes	CM001002.3	104777	7457751	247607	7474205	4149627	0.384854	55.64	55.52
ns	ce	autosomes	CM001003.3	224299	8850139	246608	7223326	3992674	0.330498	45.11	55.27
ns	ce	autosomes	CM001004.3	104466	8613950	280846	8760087	5214877	0.428885	60.54	59.53
ns	ce	autosomes	CM001005.3	81923	6098461	215682	6934405	3520921	0.370158	57.73	50.77
ns	ce	autosomes	CM001006.3	94831	6085577	197306	6247246	3218723	0.353159	52.89	51.52
ns	ce	autosomes	CM001007.3	72607	5657429	215973	7036930	3492036	0.379473	61.72	49.62
ns	ce	autosomes	CM001008.3	87039	5488418	177678	5206607	2849058	0.363124	51.91	54.72
ns	ce	autosomes	CM001009.3	65067	4682353	176410	5238599	2657132	0.365804	56.75	50.72
ns	ce	autosomes	CM001010.3	94021	5334274	166559	5075883	2791652	0.36643	52.33	55.0
ns	ce	autosomes	CM001011.3	80620	5288323	166884	5367136	2891824	0.372483	54.68	53.88
ns	ce	autosomes	CM001012.3	42778	3458956	133689	4001311	2142611	0.402924	61.94	53.55
ns	ce	xy	CM001013.3	48761	4390407	262871	8965894	3010590	0.290999	68.57	33.58
ns	ce	xy	CM001014.3	14068	352368	7422	1134792	81875	0.0582622	23.24	7.21
ns	cnee	autosomes	CM000994.3	41964	5977010	341948	10392881	3364855	0.258735	56.3	32.38
ns	cnee_vs_nocds_ucsc	autosomes	CM000994.3	41964	5977010	307077	8698587	3364855	0.297492	56.3	38.68
ns	cnee	autosomes	CM000995.3	47119	7316380	393489	12137389	4265587	0.280849	58.3	35.14
ns	cnee_vs_nocds_ucsc	autosomes	CM000995.3	47119	7316380	345582	9884856	4265587	0.329754	58.3	43.15
ns	cnee	autosomes	CM000996.3	31216	4833084	286245	9132536	2990865	0.272522	61.88	32.75
ns	cnee_vs_nocds_ucsc	autosomes	CM000996.3	31216	4833084	264743	7869554	2990865	0.307963	61.88	38.01
ns	cnee	autosomes	CM000997.3	33479	5327168	303274	9777514	3318586	0.281568	62.3	33.94
ns	cnee_vs_nocds_ucsc	autosomes	CM000997.3	33479	5327168	272452	8156872	3318586	0.326457	62.3	40.68
ns	cnee	autosomes	CM000998.3	35089	4964254	266895	7900209	2485085	0.239425	50.06	31.46
ns	cnee_vs_nocds_ucsc	autosomes	CM000998.3	35089	4964254	228186	6270070	2485085	0.284034	50.06	39.63
ns	cnee	autosomes	CM000999.3	31023	4659214	262792	8051020	2656464	0.264226	57.02	33.0
ns	cnee_vs_nocds_ucsc	autosomes	CM000999.3	31023	4659214	236265	6775886	2656464	0.302606	57.02	39.2
